run,event_file,tag,points,first,last,minimum,maximum,tail_mean
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Reward / Total reward (max),20,21.033401489257812,236.08790588378906,21.033401489257812,240.089599609375,134.42794036865234
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Reward / Total reward (min),20,15.793764114379883,26.03110122680664,15.793764114379883,237.33929443359375,28.756717681884766
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Reward / Total reward (mean),20,18.327526092529297,81.21002960205078,18.327526092529297,237.81210327148438,56.70602607727051
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Episode / Total timesteps (max),20,8991,8999,8833,8999,8999
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Episode / Total timesteps (min),20,8991,8994,8833,8999,8996.5
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Episode / Total timesteps (mean),20,8991,8997.7958984375,8833,8999,8998.39794921875
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Stats / Inference time (ms),1200,1.6162097454071045,1.4984644651412964,1.300130009651184,2.022862434387207,1.6020226279894512
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Stats / Env stepping time (ms),1200,117.453125,125.07328796386719,110.05001831054688,145.23309326171875,127.95443223317464
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Reward / Instantaneous reward (max),1200,0.021762151271104813,200.03419494628906,-0.004058620426803827,200.047607421875,30.03931109277376
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Reward / Instantaneous reward (min),1200,0.01024669036269188,-0.09951363503932953,-200.01173400878906,0.01024669036269188,-51.725284396919115
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Reward / Instantaneous reward (mean),1200,0.01908057928085327,0.04812466353178024,-0.4819706976413727,0.4088916778564453,-0.007713486106297296
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Loss / Policy loss,1200,-0.017642052844166756,-0.003160565858706832,-0.11387289315462112,0.07960677891969681,-0.00037410837157949575
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Loss / Value loss,1200,0.00010744550672825426,0.0004910322022624314,5.175596129447513e-7,0.28557950258255005,0.002909217858117093
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Policy / Standard deviation,1200,0.017452798783779144,0.017278391867876053,0.017277009785175323,0.017452798783779144,0.017280917940661313
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Learning / Learning rate,1200,0.00013333333481568843,0.000059259258705424145,0.00001170553241536254,0.00019999999494757503,0.00008259487881332462
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Stats / Algorithm update time (ms),1200,85.03007507324219,47.51038360595703,16.044139862060547,270.1654357910156,46.45311034520467
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Reward / Total reward (max),386,-206.1177978515625,190.41860961914062,-221.63694763183594,220.42825317382812,-7.732654621726589
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Reward / Total reward (min),386,-206.42515563964844,190.41860961914062,-222.65089416503906,219.6416015625,-25.088218864641693
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Reward / Total reward (mean),386,-206.262939453125,190.41860961914062,-221.63694763183594,219.6416015625,-13.189295618157638
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Episode / Total timesteps (max),386,6448,8080,6428,8999,7606
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Episode / Total timesteps (min),386,6447,8080,6428,8999,7496.8421052631575
s29-100mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-100mm_attempt002\events.out.tfevents.1785480829.Allenzjx.110904.0,Episode / Total timesteps (mean),386,6447.47216796875,8080,6428,8999,7569.022717927632
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Stats / Inference time (ms),1200,1.5767104625701904,1.820895791053772,1.2923851013183594,2.2433624267578125,1.5683496077855428
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Stats / Env stepping time (ms),1200,121.47948455810547,138.01829528808594,111.06465911865234,165.45950317382812,134.9373259862264
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Reward / Instantaneous reward (max),1200,0.02183062955737114,200.04286193847656,-0.003880257485434413,200.04373168945312,33.37750035105273
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Reward / Instantaneous reward (min),1200,0.004163049161434174,-0.15569311380386353,-200.0316162109375,0.004163049161434174,-45.07528401225184
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Reward / Instantaneous reward (mean),1200,0.019253483042120934,0.0540052093565464,-0.8259536027908325,0.49988195300102234,-0.001152955738264912
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Loss / Policy loss,1200,-0.02063308283686638,0.0034565040841698647,-0.3922936022281647,0.07925671339035034,-0.0003708845239088987
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Loss / Value loss,1200,0.04202289134263992,0.004469164647161961,0.000022810312657384202,0.7861940264701843,0.006536953167627265
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Policy / Standard deviation,1200,0.018313810229301453,0.018004421144723892,0.018004421144723892,0.018313810229301453,0.01801701132208109
s47-50mm,runs\ppo_without_com\training\method-B-v34_seed-47_stage-50mm_attempt002\events.out.tfevents.1785493019.Allenzjx.156816.0,Learning / Learning rate,1200,0.00019999999494757503,0.00002633744770719204,0.0000034683059766393853,0.0003000000142492354,0.0000858756291715205
