time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward
33.8,0,0.3102538585662842,-0.024174951016902924,-0.039108648896217346,0.32778704166412354,4.0,0.0,0.45723411440849304
33.85,0,0.3110121190547943,-0.023830553516745567,-0.043297044932842255,0.32783856987953186,4.0,0.0,0.45689478516578674
33.9,0,0.31178605556488037,-0.023502469062805176,-0.04443798214197159,0.32789531350135803,4.0,0.0,0.4569138288497925
33.95,0,0.3125714361667633,-0.02316226437687874,-0.0459773913025856,0.32795074582099915,4.0,0.0,0.45695197582244873
34.0,0,0.3133763372898102,-0.02284892648458481,-0.041651200503110886,0.32801342010498047,4.0,0.0,0.4568997025489807
34.05,0,0.31419944763183594,-0.022548485547304153,-0.043143969029188156,0.328081339597702,4.0,0.0,0.4569416046142578
34.1,0,0.31502413749694824,-0.022236056625843048,-0.04246397688984871,0.32814809679985046,4.0,0.0,0.4573366641998291
34.15,0,0.31578510999679565,-0.02203887514770031,-0.04661308974027634,0.32817065715789795,4.0,0.0,0.46518680453300476
34.2,0,0.3163891136646271,-0.022096294909715652,-0.04759178310632706,0.32810649275779724,4.0,0.0,0.4622763395309448
34.25,0,0.3170318603515625,-0.022204115986824036,-0.052096813917160034,0.3280535936355591,4.0,0.0,0.4621858298778534
34.3,0,0.31769677996635437,-0.022348003461956978,-0.051816537976264954,0.3280124068260193,4.0,0.0,0.4614754617214203
34.35,0,0.31838899850845337,-0.022538146004080772,-0.05227590352296829,0.3279867470264435,4.0,0.0,0.46050381660461426
34.4,0,0.31909501552581787,-0.022744009271264076,-0.051469963043928146,0.3279639184474945,4.0,0.0,0.46053069829940796
34.45,0,0.31980159878730774,-0.022984018549323082,-0.05081925168633461,0.32795682549476624,4.0,0.0,0.46035122871398926
34.5,0,0.32053160667419434,-0.023206287994980812,-0.05954800918698311,0.3279610872268677,4.0,0.0,0.46029165387153625
34.55,0,0.32126474380493164,-0.02340501733124256,-0.051841914653778076,0.3279733657836914,4.0,0.0,0.4598008096218109
34.6,0,0.32199349999427795,-0.023661961778998375,-0.05256974697113037,0.32798266410827637,4.0,0.0,0.4608784317970276
34.65,0,0.32275715470314026,-0.023848073557019234,-0.05517195537686348,0.32798683643341064,4.0,0.0,0.4598329961299896
34.7,0,0.3235127031803131,-0.024057036265730858,-0.05701360106468201,0.29867538809776306,4.0,0.0,0.46058017015457153
34.75,0,0.32429200410842896,-0.024274151772260666,-0.054740969091653824,0.3279956877231598,4.0,0.0,0.4593764543533325
34.8,0,0.32508385181427,-0.024479562416672707,-0.055560603737831116,0.3280071020126343,4.0,0.0,0.4593929350376129
34.85,0,0.3258000612258911,-0.024569611996412277,-0.043822385370731354,0.3279792368412018,4.0,0.0,0.46301770210266113
34.9,0,0.32639801502227783,-0.02449069172143936,-0.04845256358385086,0.3278985917568207,4.0,0.0,0.4643884003162384
34.95,0,0.327036589384079,-0.024445682764053345,-0.04629917070269585,0.32784226536750793,4.0,0.0,0.4615544378757477
35.0,0,0.32770758867263794,-0.024438874796032906,-0.04424375295639038,0.3277956247329712,4.0,0.0,0.46099457144737244
35.05,0,0.32838496565818787,-0.024431290104985237,-0.04985170438885689,0.32776719331741333,4.0,0.0,0.46294522285461426
35.1,0,0.32908493280410767,-0.024110233411192894,-0.0398746058344841,0.3277815282344818,4.0,0.0,0.4583487808704376
35.15,0,0.3298221826553345,-0.023797333240509033,-0.046392664313316345,0.3278124928474426,4.0,0.0,0.4580835998058319
35.2,0,0.3305654525756836,-0.02351248636841774,-0.04045964777469635,0.3278437852859497,4.0,0.0,0.4574386477470398
35.25,0,0.33132246136665344,-0.02324235625565052,-0.04113440588116646,0.3278805613517761,4.0,0.0,0.45764559507369995
35.3,0,0.3320992588996887,-0.02296726405620575,-0.04154837876558304,0.3279235363006592,4.0,0.0,0.45723092555999756
35.35,0,0.33288925886154175,-0.022692905738949776,-0.041111622005701065,0.32796844840049744,4.0,0.0,0.45688390731811523
35.4,0,0.33368995785713196,-0.022435558959841728,-0.042318880558013916,0.3280154764652252,4.0,0.0,0.45766717195510864
35.45,0,0.33447474241256714,-0.02216940000653267,-0.03294701129198074,0.3280525803565979,4.0,0.0,0.4582206606864929
35.5,0,0.3350779712200165,-0.022194402292370796,-0.047530870884656906,0.3279794752597809,4.0,0.0,0.46125274896621704
35.55,0,0.33572542667388916,-0.022289777174592018,-0.05074081942439079,0.327933132648468,4.0,0.0,0.4609237015247345
35.6,0,0.33639949560165405,-0.02241581492125988,-0.05682525783777237,0.32790330052375793,4.0,0.0,0.4623650908470154
35.65,0,0.33709001541137695,-0.022575287148356438,-0.0532003752887249,0.3278762996196747,4.0,0.0,0.46248623728752136
35.7,0,0.33777564764022827,-0.022782303392887115,-0.054940834641456604,0.32785505056381226,4.0,0.0,0.4606092572212219
35.75,0,0.3384847939014435,-0.023000607267022133,-0.05003059282898903,0.32784274220466614,4.0,0.0,0.46038687229156494
35.8,0,0.3392077088356018,-0.02321329154074192,-0.05271974578499794,0.3278411328792572,4.0,0.0,0.4600631296634674
